S,S,S,S,S
99,玩命不玩心,迈克尔孙,道尔顿,埃玛
100,天涯沦落人,米切尔森,丹尼路,埃米
101,天生王者范,密德尔顿,丹聂耳,尤里
102,天亮说晚安,蒙哥马利,丹尼尔,尤金
103,叹一世情长,纳撒尼尔,达尔文,伊娃
104,叹一生凄凉,尼赫迈亚,迪莉娅,埃文
105,素顏醉傾城,尼古拉斯,丹尼斯,伊夫
106,素手挽清风,奥巴代亚,迪尤尔,范妮
107,肆意的青春,奥尼恩斯,狄更斯,芬恩
108,思念太猖狂,帕特里奇,迪肯斯,弗林
109,思念那么浓,帕特里克,道尔蒂,弗琳
110,说爱太烫嘴,帕利策尔,陶赫蒂,福特
111,谁能懂我心,拉姆斯登,陶丽思,福勒
112,帅死一条街,洛克菲勒,多丽丝,芬克
113,帅的被狗咬,穆翼雅彤,多萝西,加登
114,始终不及她,拉瑟福德,多伊尔,乔迪
115,时光凉人心,森次巴立,德莱登,乔治
116,时光会咬人,萨克斯顿,德莱塞,吉本
117,十梦九有你,莎士比亚,屈莱顿,吉尔
118,诗酒趁年少,史沫特莱,杜勒斯,季星
119,笙歌叹离愁,斯梅德利,邓洛普,戈斯
120,少爷逍遙游,斯莫利特,爱迪生,格力
121,少年先疯队,斯摩莱特,伊迪丝,格林
122,上线只为你,斯坦贝克,埃德蒙,格雷
123,上山打老虎,斯坦培克,爱德华,冈特
124,三句不离你,斯蒂芬斯,埃兰娜,冈瑟
125,若爱请深爱,史蒂文森,埃利克,格斯
126,入画浅相思,斯特雷奇,埃利诺,盖伊
127,如梦方初醒,司徒雷登,爱略特,哈该
128,如果没有你,斯图尔特,艾略特,哈尔
129,日久见人心,斯维夫特,艾利斯,汉子
130,任性不认命,斯威夫特,埃尔西,汉森
131,人走茶自凉,斯温伯恩,埃墨森,汉萨
132,人帅被人欺,托拜厄斯,埃米莉,哈珀
133,热情喂冷风,汤姆林森,艾米丽,哈里
134,让往事随风,特里维康,埃丝特,哈哈
135,染墨若流云,特罗洛普,埃文思,哈特
136,曲终人再见,尤利塞斯,伊夫琳,哈维
137,请别丢下我,瓦奥莱特,法拉第,海登
138,情话喂了狗,弗吉尼亚,法斯特,赫莉
139,轻舞de飞扬,韦伯斯特,福克纳,亨利
140,青春喂了狗,怀特黑德,费尔顿,赫蒂
141,青春就该浪,威廉明娜,福开森,希尔
142,浅唱那忧伤,威尔莫特,弗莱德,霍奇
143,浅唱落雨殇,沃德豪斯,弗格森,胡德
144,骑猪看夕阳,渥拉斯顿,菲尔德,胡佛
145,陪我度余生,沃拉斯顿,菲尔丁,霍普
146,陪你到最后,沃兹沃思,弗劳尔,豪斯
147,你非我莫属,渥兹华斯,福尔康,休士
148,你不够凳次,华兹沃斯,福斯特,休斯
149,脑残酸菜面,魏克利夫,福克斯,休姆
150,难过亦难过,威克利夫,弗兰克,休谟
151,南风吹北巷,赞格威尔,弗雷德,赫特
152,拿命来爱你,泽卡赖亚,弗里曼,欧文
153,木耳收割机,泽弗奈亚,加拉赫,伊凡
154,萌妞优酸乳,齐默尔曼,盖洛普,杰克
155,眉目亦如画,爱得莱德,加西亚,詹斯
156,没资格说爱,爱尔柏塔,加德纳,詹金
157,没事别惹我,布里奇特,杰弗里,珍妮
158,满城花祭泪,西莱斯特,吉布森,杰里
159,落花随流水,克里斯瑞,詹理斯,杰西
160,落笔映惆怅,多洛雷斯,贾尔斯,吉姆
161,零碎de记忆,多明尼卡,戈德温,杰米
162,烈酒敬往事,埃尔韦拉,葛德文,乔布
163,凉心亦薄情,弗朗西斯,戈尔德,乔尔
164,凉城已无愛,杰拉尔丁,高尔德,约翰
165,凉城已无爱,葛罗瑞亚,格雷斯,乔纳
166,冷眼看世界,格拉力克,格雷西,琼斯
167,冷色紫薔薇,海洛力士,格兰汉,琼森
168,冷眸笑红尘,伊莱贝尔,格兰特,乔丹
169,泪划过我心,克里斯廷,格罗特,乔希
170,老酒馆的猫,玛玛米亚,哈喽呀,焦尔
171,懒懒de喵喵,因吹斯汀,哈里曼,贾德
172,懒得取名字,普鲁登斯,哈林顿,凯特
173,赖你一辈子,莱拉莱利,哈灵顿,基茨
174,来不及道别,维他奶奶,哈里森,凯利
175,苦守一个梦,依依小鸟,哈罗德,凯南
176,空巷挽清风,爱葛妮丝,霍索恩,基特
177,可遇不可求,奥尔瑟雅,海伍德,基托
178,可念不可说,阿蜜莉雅,赫斯特,基蒂
179,炕上随你弄,安德烈亚,海明威,拉姆
180,扛枪的萝莉,安纳贝尔,赫伯特,兰姆
181,看穿不拆穿,安东妮儿,休利特,朗伯
182,咖啡不加糖,爱勒贝拉,希克斯,兰登
183,绝版好男人,艾丝翠得,霍布斯,拉金
184,剧终人散尽,亚特兰特,霍布森,劳里
185,橘子味的猫,塞西莉亚,霍奇森,劳逊
186,酒醉人心碎,克莱曼婷,霍姆斯,劳森
187,久了就旧了,康斯坦丝,霍尔特,莱顿
188,禁区请止步,可妮莉雅,霍普斯,莉娜
189,仅有的会以,艾德文娜,霍普金,莉莉
190,街角买回忆,伊丽莎白,伊西丝,林肯
191,街角捡幸福,伊文捷琳,贺拉斯,林塞
192,街角的祝福,弗罗伦丝,霍勒斯,利齐
193,焦糖玛奇朵,嘉比里拉,特拉斯,洛克
194,贱贱惹人爱,格拉迪斯,霍雷肖,伦敦
195,假装的坚强,海洛伊丝,霍恩比,朗曼
196,假装不在乎,希拉瑞莉,霍齐亚,路易
197,回忆太致命,伊莎蓓尔,豪斯曼,露西
198,回忆太狗血,列蒂西雅,休斯敦,卢克
199,回忆那么伤,玛格丽特,霍华德,利利
200,回忆乱人心,玛莉提丝,豪厄斯,林奇
201,回眸醉倾城,蜜雪莉雅,豪厄尔,林德
202,回眸亦倾城,摩黛丝提,霍伊尔,李顿
203,回不到过去,奥蒂列特,哈伯德,利顿
204,挥刀断情丝,奥蒂莉亚,赫德森,马奇
205,花下祭相思,奥丽薇亚,哈金斯,玛吉
206,花落若相惜,奥菲莉亚,汉弗莱,马伦
207,花落人断肠,派翠西亚,亨廷顿,马克
208,花落尘归去,佩内洛普,赫胥黎,马洛
209,花开若相惜,菲妮克丝,艾萨克,马南
210,哼首小曲儿,普莉斯拉,艾塞亚,马莎
211,何以笙箫默,罗莎琳德,杰克逊,马丁
212,含笑半步癫,鲁思玛丽,雅各布,玛丽
213,含泪的微笑,莎柏琳娜,詹姆斯,马修
214,过去不再提,西格莉德,贾斯帕,莫德
215,顾北清歌寒,丝特芬妮,杰姆斯,莫姆
216,故笙诉离歌,范伦汀娜,杰斐逊,梅格
217,故人还未归,维拉妮卡,杰弗逊,迈卡
218,孤独配老酒,维多利亚,詹宁斯,迈克
219,孤傲的背影,维尔莉特,杰里米,米尔
220,够拽才男人,维吉妮亚,杰罗姆,明妮
221,格式化爱情,赛薇亚拉,约翰尼,尼莫
222,搁浅的执念,依耶芙特,约翰逊,蒙德
223,感情路难走,丽诺比丽,乔纳森,门罗
224,浮生寄旧梦,项驳雨莲,约瑟夫,穆尔
225,疯的很理智,江凛雨兰,乔舒亚,莫尔
226,风中的落叶,万逊幼丝,乔伊斯,摩根
227,风中的承诺,堪鹰幼枫,朱迪思,摩利
228,风吹乱了发,黎威又菡,贾德森,摩顿
229,放肆de微笑,席紊友梅,朱莉娅,摩西
230,翻身的咸鱼,经阁友儿,朱利安,默里
231,哆啦不做梦,车康映萱,朱丽叶,南希
232,对风讲故事,贾焱映安,小拖鞋,内尔
233,断线的风筝,裘城迎梦,凯瑟琳,内利
234,独手毁天下,费誉迎波,卡特琳,纽曼
235,嘟嘟小脾气,屈虔易巧,凯洛格,牛顿
236,点烟抽寂寞,纪胜亦丝,凯尔森,尼克
237,低头泪倾城,鄂穆亦巧,凯尔文,诺厄
238,等风也等你,田豁忆雪,肯尼迪,诺拉
