CS_KEY,CS,CS,
OrderCD,2,,战斗中指令的公共CD（单位：秒）
DaylyMission,20:20:00,,每日任务刷新时间
PlayerHangingJudgeTime,10,,X秒不操作，进入托管。单位秒
OfflineTime,120,,玩家XX秒不发送心跳包，判定为离线状态（空闲状态）
OfflineTimeTotal,960,,玩家XX秒不发送心跳包，判定为离线状态（所有状态）
AssistKillExpPercent,1,,助攻经验百分比-PVE和PVP通用此值
AssistKillExpRagePercent,0.6,,助攻范围百分比-PVE和PVP通用此值
AssistKillExpRange,40,,助攻范围-PVE和PVP通用此值（所有单位通用此半径）
SkillLIneStatistics,1,,划线、技能等统计开关（0 不统计，1 统计）
PopulationStatistics,1,,人口统计开关（0 不统计，1 统计）
PvpAnimationRange,24,,pvp大本营N范围内的玩家播放完大本营死亡动画再播放结算UI
InitRuneDebris,100000,,初始符文碎片数量
EnergyStatistics,1,,能量统计开关（0 不统计，1 统计）
ExperiStatistics,1,,经验统计开关（0 不统计，1 统计）
TowerBox,1601,,推塔宝箱掉落ID
PVPTeamStatusLimitTm,660,,pvp组队状态上限时间，超过后将重置
PVPFightStatusLimitTm,2000,,玩家游戏中的最大时长
refreshCard,6,,商店每次刷新卡牌数
RuneNameMax,7,,符文页最大字数
RuneNameMin,2,,符文页最小字数
RobotThumbWeight,20,,机器人点赞概率
ThumbDelayTime,5,,机器人点赞，延迟时间。极大值为5s，即房间销毁时间
SkillTipsTime,1,,技能弹框tips出现时间，单位秒
PVPReadyTimeOut,30,,匹配loading最大时长，单位秒
SnowDeadDropPercent,0.5,,雪人死亡掉落雪球百分比
SightRange,40,,视野范围
DrawLineRadius,15,,阵型变化最大半径
LongPressTime,2,,技能施法时间
BubbleTime,5,,英雄死亡气泡时间（秒）
PVPCallCD,30,,PVP招兵间隔CD
PVECallCD,0,,PVE招兵间隔CD
VictoryMedalRefresh,9,,胜利奖章刷新时间（具体时间点）
FightMedalRefresh,2,,对战奖章恢复间隔时间（小时）
FightMedalNum,30,,对战奖章恢复数量（个）
FightMedalMaxNum,300,,对战奖章可获取数量上限
VictoryChestMedalNeed,5,,兑换胜利宝箱需要的胜利奖章数量
FightChestMedalNeed,100,,兑换对战宝箱需要的对战奖章数量
lineInterval,1.3,,划线列间距
MaxFriendNum,100,,好友数量上限
MaxdayapplyNum,30,,每日发送好友申请数量上限
MaxapplyrecordNum,100,,好友申请记录存储数量上限
MaxdayrefuseNum,3,,每日添加同一好友可供拒绝的次数上限
MatchLevel1,10,,推荐玩家等级1
MatchLevel2,20,,推荐玩家等级2
MaxHeroNumInHome,4,,家园场景中最多存在的英雄数量
SevenDaysLoginReward,107;107;107;107;107;107;107,,七日登陆奖励掉落配置
PVEGarrisonPayCount,3,,驻守付费加速次数
PVEGarrisonPayPrice,20;40;60,,驻守付费加速价格
PVEGarrisonPayReward,10,,驻守付费加速获取道具次数
CreateWorksPrice,2000,,工坊单次制作所需金币
BossPartInterval,1;0.5;0.1;0.1;0.1,,BOSS部件执行间隔时间
BossTransformHP,50,,BOSS变身血量百分比
BossHatredRange,150,,BOSS仇恨范围A区域（半径）
BossHatredTimeUpper,15,,BOSS仇恨时长（上限）
BossHatredTimeLow,12,,BOSS仇恨时长（下限）
BossRescueScope,350,,BOSS解救判定范围（平方）
BossRescueTime,6,,BOSS解救总时长
BossDeadTime,10,,BOSS气泡死亡时间
BossRescueInitial,1,,BOSS初始解救进度
BossRescueRecover,30,,BOSS英雄生命恢复百分比（被解救）
BossOverHeatAndTime,"200,5,1.5",,"BOSS碾压伤害（固定值,百分比,僵直时间)"
BossBornSkillId,2000,,BOSS出生技能id
BossMatchupScene,201;202;203,,BOSS不同匹配人数进入关卡ID(1人；2人；3人）
PveBossPartID,99001;99002;99003;99004,,BOSS1-6的BOSS部件ID
BossRewardTime,4,,BOSS奖励次数刷新时间
BossRewardCount,2,,BOSS每日奖励次数
BossRewardLimit,3,,Boss每日付费购买次数上限
BossRewardPrice,20;40;60,,Boss每日付费价格
BossRoomRefreshNumber,20,,Boss列表房间刷新数量
BossScoreTopLimit,40000,,BOSS战计分板分数上限
BossPlayCount,5,,BOSS每日玩法次数
BossPlayTime,4,,BOSS每日玩法次数刷新时间
BossRewardTimeRefresh,1;4,,BOSS奖励刷新时间（周;时）
ResourceChapterPlayCount,3,,资源副本每日玩法次数
SkillButtonR,0.05,,按下技能后移动R半径的范围才会触发手动施法
SkillButtonT,0,,按下技能后至少T秒后才会触发手动施法
MaxChatRecentPlayer,20,,最近联系人列表中最大保留的联系人数量
ChatIntervallimitlevel,10,,聊天-世界频道等级限制
Chatteamlimitlevel,1,,聊天-队伍频道等级限制
Privatechatlimitlevel,1,,聊天-私聊频道等级限制
ChatsocietyLimitlevel,1,,聊天-公会频道等级限制
MaxLines,5,,聊天界面最大换行次数
ChatWordLimitTime,10,,世界频道发言时间间隔（s）
ChatteamLimitTime,1,,队伍频道发言时间间隔（s）
ChatfriendLimitTime,1,,私聊频道发言时间间隔（s）
ChatsocietyLimitTime,1,,公会频道发言时间间隔（s）
MaxChatTime,1800,,显示时间戳的时间间隔
MyChatRecord,10,,我的历史消息记录个数
MaxChatRecord,50,,私聊对话框本地最大保存聊天记录条数
MaxChatWorld,100,,世界聊天对话框本地最大保存聊天记录条数
ChatWordLimit,150,,聊天字数上限
MaxChatMsgSize,50,,最长消息大小 （不要）
RoomLimit,20,,房间内聊天字数限制  （不要）
MatchLimit,20,,战中备战内聊天字数限制  （不要）
StayTime,3,,聊天气泡停留时间  （不要）
ChatInterval,5,,消息发送间隔，单位秒  （不要）
AdArmyMaxNum,4,,攻防战上阵最大军团数量
AdArmyStartNum,2,,攻防战初始可上阵军团数量
AdArmyUnlockLevel,10;15,,攻防战上阵军团解锁等级
AdNumMax,5,,攻防战每日最大进攻次数
AdNumBuyMax,3,,攻防战每日可购买次数
AdNumBuyPrice,100,,攻防战次数购买价格
AdMatchNum,5,,攻防战匹配值
AdMatchMaxNum,4,,攻防战匹配范围最大扩大次数
AdWinBaseScore,2,,攻防战胜利基础积分
AdDefeatBaseScore,1,,攻防战失败基础积分
AdFightBaseNum,100,,攻防战战斗力差异基础值
AdFightBaseScore,2,,攻防战差异基础分
AdFightDiffTimes,3,,攻防战战斗力差异倍数
SwitchNameTime,1,,切换随机名字的间隔时间（单位：秒）
DefaultOperationMode,1,,玩家初次进入游戏时默认操作模式  1为摇杆模式  2为点击模式
DefaultSkillMode,2,,玩家初次进入游戏时默认技能释放模式  1为自动施法  2为手动施法
DefaultChooseMode,2,,玩家初次进入游戏时默认攻击优先级  1为低血量优先  2为距离优先
Newserver,1-10,,新服时间
Middleserver,10-30,,中服时间
Oldserver,30-,,老服时间
PvpInitialTime,2019-10-01 00:00:01,,PVP模式轮换初始时间
SpiritRecoverSpeed,300,,恢复1点体力所需时间  单位：秒
SpiritUpLimitMax,999,,体力极限值
SpiritDailyClock,12;18,,每日领取体力整点时间  （24小时制   东8区 
PlayerMaxLevel,85,,版本玩家最大等级
DailySpiritTimeLimit,30,,每日体力购买次数
HeroMaxProfessionLevel,12,,版本英雄最大职业等级
NearPlayerNum,10,,最近游戏玩家最大数量
HudOffset,"0,2,0",,受击飘字偏移
TipsChangeTime,2,,Loading界面tips轮换时间
Luckydraw,3000,,充值3000可获得一次保底，可累计
MessageStayTime,3,,系统提示信息默认限时时间（单位秒）
ChatRoomNum,500,,一个聊天室内人数上限
BattleErrorInterval,1,,战斗异常码相同飘字间隔
InitialArmyCG01,100,,CG01英雄
InitialSoldierCG01,301,,CG01士兵
SelectTargetRange,100,,锁敌范围（半径）
AmmoRecoverTime,2,,弹药未用完恢复时间
AmmoForceRecoverTime,2,,弹药用完恢复时间
AmmoRecoverCount,10,,回复量
ArmyListHide,11502;11503;10202;10203;10302;10303;,,军团列表中不显示的军团
ActionPlayTime,15,,主界面角色动作播放时间间隔（秒）
GuildMemberMax,5,,公会最大成员数
CoolDownTimeofChangeRole,6,,切角色的冷却时间
OpenAutoFire,0,,玩家开启自动攻击
FireWhenMoving,1,,玩家移动时是否可以开火
MaxCombo,3,,最大连击数
Propsld,1703,,奖励类型
InterreptTime,2,,最大中断时间
1310001,今日游玩时间已达到规定时长，请明日再来,1,防沉迷
1310002,依国家规定，22时后未成年不得游玩游戏，明日8时后可继续游玩,1,防沉迷
1310003,今日累计游玩已超过1小时，请合理安排时间，适当选择休息，祝您游戏愉快,1,防沉迷
1310004,今日游玩时间即将达到规定时长，5 分钟后游戏角色将自动下线,1,防沉迷
1310005,22时后未成年人不得游玩游戏，5分钟后将自动返回登陆界面，明日8时后可继续游玩,1,防沉迷
1310006,未实名用户只能游玩1小时，请进行实名认证,1,防沉迷
1310007,获取在线时长失败,1,防沉迷
1310008,当前账号未进行实名认证，只能游玩一小时，实名认证后可正常游玩，祝您游戏愉快！,1,防沉迷
1310009,已累计游玩将近1小时，请尽快完成实名认证，否则5分钟后将强制退出游戏,1,防沉迷
1310010,今日累计游玩已超过2小时，请合理安排时间，适当选择休息，祝您游戏愉快,1,防沉迷
1310011,生日信息不合法,2,防沉迷
1310012,未实名用户22点后不可登陆游戏，请尽快进行实名验证,2,防沉迷
1310013,完成实名认证后才能继续游玩,1,防沉迷
1310014,未实名用户无法使用充值服务，请先实名,1,防沉迷
1310015,单笔充值金额超过%d元，无法充值,2,防沉迷
1310016,充值后本月累计充值金额将超过%d元，无法充值,2,防沉迷
1310017,未满8周岁用户无法使用充值服务,2,防沉迷
1310018,无法充值,1,防沉迷
1310019,根据国家相关规定，%s周岁以上至未满%s周岁玩家，单笔充值金额不超过%s元，每月累计充值金额不超过%s元,1,防沉迷
1310020,"当前账号认证身份为未成年,根据国家规定,每日最大累计游戏时间为 2 小时.实际年龄满 18 周岁后,游戏时间限制自动解除,祝您游戏愉快!",1,防沉迷
1310021,"根据国家规定,未成年每日 22 时至次日 8 时不得游玩游戏,今日可游玩时长: %d 分钟,今日累计在线时长: %d 分钟",1,防沉迷
